cave_id,name,inventory_number,latitude,longitude,pgi_id,pgi_name,pgi_latitude,pgi_longitude,lat_diff,lon_diff,distance_m,lat_abs_diff,lon_abs_diff
496,Jaskinia Śnieżna,T.E-13.01,49.24014722241296,19.92646944469876,496,Jaskinia Śnieżna,49.240147269312146,19.92646947796035,-4.6899188532734115e-08,-3.3261589038602324e-08,0.005746880329224153,4.6899188532734115e-08,3.3261589038602324e-08
650,Jaskinia w Antolce,N-1.1,50.40555555555555,20.092777777777776,650,Jaskinia w Antolce,50.40555557434592,20.092777742653603,-1.8790366596022068e-08,3.512417379170074e-08,0.0032499126681899905,1.8790366596022068e-08,3.512417379170074e-08
651,Schronisko w Bogucicach,N-2.1,50.4825,20.584722222222222,651,Schronisko w Bogucicach,50.48249999986153,20.584722222848846,1.3847056834492832e-10,-6.266240859531536e-10,4.693406992437265e-05,1.3847056834492832e-10,6.266240859531536e-10
653,Jaskinia w Czarkowych,N-1Ex,50.30277777777778,20.708333333333332,653,Jaskinia w Czarkowych,50.30277779416617,20.708333391561293,-1.6388391088639764e-08,-5.822796111942807e-08,0.00451925290967895,1.6388391088639764e-08,5.822796111942807e-08
654,Jaskinia koło Skorocic,N-2Ex,50.43611111111111,20.669444444444444,654,Jaskinia koło Skorocic,50.43611111084793,20.669444444477165,2.631779238981835e-10,-3.2720492981752614e-11,2.935569769604786e-05,2.631779238981835e-10,3.2720492981752614e-11
655,Jaskinia w Skotnikach Małych,N-3Ex,50.43611111111111,20.791666666666668,655,Jaskinia w Skotnikach Małych,50.43611111091817,20.79166666686588,1.929407744682976e-10,-1.992113141113805e-10,2.5677531803155246e-05,1.929407744682976e-10,1.992113141113805e-10
656,Jaskinia Magierowska,N-4Ex,50.4,20.913888888888888,656,Jaskinia Magierowska,50.399999999844646,20.91388888892426,1.553530637465883e-10,-3.537081738613779e-11,1.7455920921356234e-05,1.553530637465883e-10,3.537081738613779e-11
657,Lejowa Studnia (N-2.5),N-5Ex,50.456944444444446,20.599722222222223,657,Lejowa Studnia  (N-2.5),50.456944444752345,20.599722222842587,-3.078994836869242e-10,-6.203642044511071e-10,5.568606611855188e-05,3.078994836869242e-10,6.203642044511071e-10
658,Jaskinia w Krzyżanowicach Górna,N-2.2,50.45416666666667,20.58611111111111,658,Jaskinia w Krzyżanowicach Górna,50.45416666643374,20.586111110723262,2.3293011963687604e-10,3.878461996009719e-10,3.774674553077879e-05,2.3293011963687604e-10,3.878461996009719e-10
659,Jaskinia Lucyny,N-2.3,50.45416666666667,20.58833333333333,659,Jaskinia Lucyny,50.45416666632782,20.588333333076395,3.388507252566342e-10,2.5693580596453103e-10,4.1839645220635896e-05,3.388507252566342e-10,2.5693580596453103e-10
660,Jaskinia w Gackach,N-2.4,50.45583333333334,20.598888888888887,660,Jaskinia w Gackach,50.455833333615686,20.598888888501897,-2.82348366908991e-10,3.8698999560438097e-10,4.166837172588782e-05,2.82348366908991e-10,3.8698999560438097e-10
661,Schron w Marzęcinie,N-2.7,50.46805555555556,20.605833333333333,661,Schron w Marzęcinie,50.46805555554942,20.605833332675356,6.139089236967266e-12,6.57976784168568e-10,4.657432678229278e-05,6.139089236967266e-12,6.57976784168568e-10
662,Jaskinia w Skorocicach wzmiankowana przez Sawickiego,N-6Ex,50.416666666666664,20.666666666666664,662,Jaskinia w Skorocicach wzmiankowana przez Sawickiego,50.416666666578664,20.666666666325657,8.800071782388841e-11,3.410072224596661e-10,2.60676860735975e-05,8.800071782388841e-11,3.410072224596661e-10
663,Jaskinia Żydowska,N-2.9,50.468611111111116,20.605,663,Jaskinia Żydowska,50.468611071014024,20.604999931875852,4.00970918690291e-08,6.812414810042355e-08,0.00656705605147808,4.00970918690291e-08,6.812414810042355e-08
664,Schronisko w Chwałowicach,N-2.10,50.56361111111111,20.62,664,Schronisko w Chwałowicach,50.56361111147952,20.6199999995936,-3.6840930306425435e-10,4.064020231453469e-10,5.002164408868941e-05,3.6840930306425435e-10,4.064020231453469e-10
665,Schronisko przy Rowie,N-2.11,50.425,20.649166666666666,665,Schronisko przy Rowie,50.42499999989162,20.64916666616566,1.0837908348548808e-10,5.010072356981254e-10,3.7482062093595054e-05,1.0837908348548808e-10,5.010072356981254e-10
666,Jaskinia Lisia,N-2.12,50.42472222222222,20.649166666666666,666,Jaskinia Lisia,50.42472222520116,20.649166643945467,-2.978936208819505e-09,2.2721199144370985e-08,0.001643330311024075,2.978936208819505e-09,2.2721199144370985e-08
667,Schronisko przy Lisiej,N-2.13,50.42472222222222,20.649166666666666,667,Schronisko przy Lisiej,50.42472222218416,20.649166666373688,3.806377435466857e-11,2.929780862359621e-10,2.1181918175023804e-05,3.806377435466857e-11,2.929780862359621e-10
668,Schronisko Bajkowe,N-2.17,50.44277777777778,20.649722222222223,668,Schronisko Bajkowe,50.44277777738328,20.649722222747094,3.945004323213652e-10,-5.248708134786284e-10,5.749539111783154e-05,3.945004323213652e-10,5.248708134786284e-10
669,Schronisko Ciepłe,G-1.1,50.85583333333334,20.640833333333333,669,Schronisko Ciepłe,50.85583333340216,20.64083333363744,-6.88231693857233e-11,-3.041051854779653e-10,2.2676992841328612e-05,6.88231693857233e-11,3.041051854779653e-10
670,Schronisko Równoległe,G-1.2,50.85583333333334,20.641388888888887,670,Schronisko Równoległe,50.85583333371776,20.64138888898587,-3.84424936328287e-10,-9.698197800389607e-11,4.3285037650282146e-05,3.84424936328287e-10,9.698197800389607e-11
671,Jaskinia Debiutantów,G-1.3,50.85583333333334,20.6425,671,Jaskinia Debiutantów,50.855833333606526,20.642499999750353,-2.731894710450433e-10,2.496456374956324e-10,3.506945009673417e-05,2.731894710450433e-10,2.496456374956324e-10
672,Schronisko Gliniaste,G-1.4,50.85444444444445,20.643333333333334,672,Schronisko Gliniaste,50.854444417486846,20.64333339403411,2.6957600596233533e-08,-6.070077418485198e-08,0.00520972960459914,2.6957600596233533e-08,6.070077418485198e-08
673,Jaskinia na Wietrzni,G-1.5,50.85444444444445,20.645,673,Jaskinia na Wietrzni,50.85444441229328,20.645000062009046,3.2151163509297476e-08,-6.200904678621555e-08,0.00563276146928097,3.2151163509297476e-08,6.200904678621555e-08
