NR_INWENT,NAZWA,REGION,GMINA,WLASCICIEL,DLUGOSC,GLEBOKOSC,PRZEWYZSZE,DENIWELACJ,OSUWISKOWA,X_1992,Y_1992,ID,ROK_AKTUAL,lon,lat
T.E-12.25,Ukryta Dziura,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,32.0,8.0,0.0,8.0,0,566945.12,153185.64,1560,2010,19.92002506422406,49.24251389872789
N-2.21,Tunel w Skorocicach,Niecka Nidziańska,Wiślica (gm. miejsko-wiejska),Skarb Państwa,18.0,0.0,3.0,3.0,0,618715.65,285081.26,698,2013,20.671666666962086,50.42083333374321
T.E-12.06,Jaskinia nad Kotlinami,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,1465.0,433.5,0.0,433.5,0,567047.78,152839.85,493,2013,19.921377844007278,49.23939166036958
T.E-11.08,Jaskinia pod Dachem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,104.0,66.0,0.0,66.0,0,565901.86,152969.05,1477,2013,19.905653827259666,49.240678563047474
P-02.09,Schronisko w Borsukowej Skale II,Pieniny,Nowy Targ (gm. wiejska),Skarb Państwa (Lasy Państwowe),3.4,0.0,0.0,0.0,1,584831.14,173148.92,417,2020,20.170033299866894,49.419883334445515
G-1.8,Prochownia,Region Świętokrzyski,Kielce (gm. miejska),Komunalny,172.0,0.0,12.5,12.5,0,613876.08,334060.39,676,2013,20.618611111066755,50.862222222470066
P-01.04,Jaskinia w Szaflarach,Pieniny,Szaflary (gm. wiejska),Prywatny,43.0,6.0,0.0,6.0,0,573583.46,175036.88,409,2020,20.015277750237555,49.43833336588797
T.E-12.05,Jasny Awen,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,115.0,61.0,0.0,61.0,0,567044.44,152864.51,494,2013,19.921336078951697,49.239613886932375
K.Bw-02.32,Schronisko z Lisem,Karpaty,Łukowica (gm. wiejska),Skarb Państwa (Lasy Państwowe),2.0,0.0,0.0,0.0,1,606173.49,197970.13,10635,2014,20.470991608696963,49.639786076165045
K.Bs-02.73,Jaskinia nad Szlakiem,Karpaty,Milówka (gm. wiejska),Skarb Państwa (Lasy Państwowe),11.0,0.0,0.0,0.0,0,499242.35,190005.13,10695,2015,18.989516617088515,49.577466635297284
